House_Address,Price,Bedrooms,Bathrooms,SqFT,lot,yearbuilt,lastsoldifavailable,heattype,zillowdays,cooling,parking,basement,fireplace,floorcover
House_Address,Price,Bedrooms,Bathrooms,SqFT,lot,yearbuilt,lastsoldifavailable,heattype,zillowdays,cooling,parking,basement,fireplace,floorcover
"2103 Melrose Dr APT A , Champaign, IL 61820","$86,500 ",2 beds,2 baths,"1,010 sq ft",Contact for details,1978,"May 2013 for $86,500",Forced air,Central,Unknown,Unknown,Unknown,"Hardwood, Tile",Unknown
"2127 Melrose Dr APT B , Champaign, IL 61820","$69,500 ",2 beds,1 bath,853 sq ft,Contact for details,1978,"May 2012 for $69,500",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"1918 Melrose Dr APT A , Champaign, IL 61820","$63,000 ",2 beds,1 bath,850 sq ft,Contact for details,1978,"Aug 2011 for $63,000",Forced air,Central,Unknown,Unknown,Unknown,Unknown,Unknown
"2616 Sheridan Dr , Champaign, IL 61821","$107,000 ",3 beds,1 bath,"1,005 sq ft",660 sqft,1978,"Mar 2011 for $107,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"2518 Southmoor Dr , Champaign, IL 61821","$125,500 ",3 beds,1.5 baths,"1,150 sq ft",Contact for details,1977,"Dec 2012 for $125,500",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"1115 Plymouth Dr APT A , Champaign, IL 61821","$102,500 ",2 beds,1.5 baths,"1,083 sq ft",Contact for details,1977,"May 2011 for $102,500",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"2123 Melrose Dr APT A , Champaign, IL 61820","$59,000 ",2 beds,1 bath,850 sq ft,Contact for details,1977,"Oct 2012 for $59,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"714 Phoenix Dr , Champaign, IL 61820","$114,500 ",2 beds,1 bath,"1,106 sq ft",Contact for details,1977,"Oct 2013 for $114,500",Contact for details,Central,Garage - Attached,Unknown,No,"Carpet, Linoleum / Vinyl",No
"1915 Melrose Dr APT A , Champaign, IL 61820","$65,000 ",2 beds,1 bath,850 sq ft,849 sqft,1977,"Jan 2013 for $65,000",Forced air,Central,Unknown,Unknown,Unknown,"Carpet, Tile",Unknown
"603 English Creek Ct APT B , Champaign, IL 61821","$51,000 ",2 beds,1.5 baths,"1,000 sq ft",Contact for details,1977,"Oct 2013 for $51,000",Forced air,Central,Unknown,Unknown,Unknown,Carpet,Unknown
"2602 Trafalgar Sq , Champaign, IL 61821","$100,000 ",3 beds,1 bath,912 sq ft,Contact for details,1977,"Jul 2012 for $100,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"605 English Creek Ct APT A , Champaign, IL 61821","$49,000 ",2 beds,1.5 baths,"1,000 sq ft",Contact for details,1975,"Aug 2013 for $49,000",Forced air,Central,Unknown,Unknown,Unknown,"Carpet, Linoleum / Vinyl",Unknown
"107 N Elm St APT 211 , Champaign, IL 61820","$144,000 ",2 beds,2 baths,"1,144 sq ft",Contact for details,1975,"Nov 2012 for $144,000",Forced air,Central,Garage - Attached,Unknown,No,Unknown,No
"2607 Dale Dr , Champaign, IL 61821","$52,000 ","7,150 sqft","May 2012 for $52,000",541,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"701 Kenwood Rd APT B , Champaign, IL 61821","$68,000 ",2 beds,1.5 baths,"1,100 sq ft",Contact for details,1975,"Dec 2010 for $68,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"2306 Melrose Dr APT B , Champaign, IL 61820","$97,000 ",2 beds,1 bath,"1,094 sq ft","2,047 sqft",1974,"Jun 2013 for $97,000",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Linoleum / Vinyl",Unknown
"2801 Willowpark Dr , Champaign, IL 61821","$107,000 ",3 beds,1 bath,"1,025 sq ft",66 sqft,1974,"Jul 2011 for $107,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"2506 Dale Dr , Champaign, IL 61821","$35,000 ",3 beds,1 bath,"1,012 sq ft",Contact for details,1974,"Jun 2012 for $35,000",Contact for details,Unknown,Garage - Attached,Unknown,Yes,Unknown,Unknown
"912 Crescent Dr APT 1-1 , Champaign, IL 61821","$52,900 ",3 beds,1 bath,"1,024 sq ft",1 acres,1974,"Jun 2012 for $45,000",Forced air,197,Central,Garage - Attached,Unknown,No,"Carpet, Hardwood, Linoleum / Vinyl"
"1222 Crescent Dr , Champaign, IL 61821","$81,000 ",3 beds,1 bath,"1,092 sq ft","6,030 sqft",1973,"Sep 2013 for $81,000",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Linoleum / Vinyl",Unknown
"511 Bonnymeade Dr , Champaign, IL 61821","$86,500 ",3 beds,1 bath,920 sq ft,"7,102 sqft",1973,"Aug 2013 for $86,500",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Hardwood, Laminate, Linoleum / Vinyl",Unknown
"3312 York Dr , Champaign, IL 61821","$65,000 ",4 beds,1.5 baths,"1,150 sq ft","6,500 sqft",1973,"Oct 2012 for $65,000",Contact for details,Central,Garage - Attached,Unknown,No,"Carpet, Tile",No
"2407 W John St APT B , Champaign, IL 61821","$66,500 ",2 beds,2 baths,"1,056 sq ft",Contact for details,1973,"Aug 2013 for $66,500",Forced air,Central,Garage - Detached,Unknown,Unknown,"Carpet, Hardwood, Laminate",Unknown
"607 Ridgewood Ct , Champaign, IL 61821","$75,000 ",3 beds,1 bath,925 sq ft,"7,930 sqft",1973,"Jul 2013 for $75,000",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Linoleum / Vinyl",Unknown
"2601 Dale Dr , Champaign, IL 61821","$56,500 ",3 beds,1 bath,"1,016 sq ft","7,150 sqft",1973,"Jan 2012 for $56,500",Contact for details,Unknown,Garage - Attached,Unknown,Unknown,Unknown,Unknown
"703 Kenwood Rd APT B , Champaign, IL 61821","$56,000 ",2 beds,2 baths,"1,088 sq ft",Contact for details,1973,"Jan 2013 for $56,000",Forced air,Central,Garage - Detached,Unknown,Unknown,"Carpet, Hardwood, Linoleum / Vinyl",Unknown
"3107 Ridgewood Dr , Champaign, IL 61821","$82,000 ",3 beds,1 bath,925 sq ft,"7,150 sqft",1972,"Oct 2013 for $82,000",Contact for details,Central,Garage - Attached,Unknown,Unknown,"Carpet, Linoleum / Vinyl",Unknown
"3302 W Daniel St , Champaign, IL 61821","$99,500 ",3 beds,1 bath,"1,073 sq ft","1,071 sqft",1972,"Apr 2013 for $99,500",Forced air,Central,Garage - Attached,Unknown,Unknown,"Hardwood, Laminate, Tile",Unknown
"3321 Ridgewood Dr , Champaign, IL 61821","$73,000 ",3 beds,1 bath,916 sq ft,Contact for details,1971,"Mar 2013 for $73,000",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Hardwood, Laminate",Yes
"3309 Kimberly Dr , Champaign, IL 61821","$85,000 ",4 beds,1.5 baths,"1,146 sq ft",Contact for details,1971,"Jul 2012 for $85,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"3304 W John St , Champaign, IL 61821","$100,000 ",3 beds,1 bath,900 sq ft,Contact for details,1971,"Dec 2012 for $100,000",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Linoleum / Vinyl, Tile",Unknown
"616 Dogwood Dr , Champaign, IL 61821","$98,000 ",3 beds,1 bath,"1,073 sq ft","8,276 sqft",1971,"Jun 2013 for $98,000",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Hardwood, Laminate",Unknown
"1504 Queens Way , Champaign, IL 61821","$38,500 ",3 beds,1 bath,"1,056 sq ft",Contact for details,1971,"Oct 2011 for $38,500",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"505 S Duncan Rd , Champaign, IL 61821","$65,000 ",3 beds,1 bath,925 sq ft,923 sqft,1971,"Feb 2011 for $65,000",Forced air,Central,Garage - Attached,Unknown,Unknown,Unknown,Unknown
"3106 W John St , Champaign, IL 61821","$95,500 ",3 beds,1 bath,"1,069 sq ft","1,067 sqft",1971,"Sep 2013 for $95,500",Forced air,Central,Garage - Detached,Unknown,Unknown,"Carpet, Linoleum / Vinyl",Unknown
"3203 W Daniel St , Champaign, IL 61821","$65,000 ",3 beds,1 bath,"1,107 sq ft",Contact for details,1971,"Oct 2012 for $65,000",Contact for details,Unknown,None,Unknown,Unknown,Unknown,Unknown
"1510 Marigold Ln , Champaign, IL 61821","$27,000 ",3 beds,1 bath,"1,073 sq ft","7,480 sqft",1970,"Dec 2011 for $27,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"901 Foley Ave , Champaign, IL 61820","$52,500 ",3 beds,1 bath,860 sq ft,Contact for details,1970,"Jun 2011 for $52,500",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"705 W Church St , Champaign, IL 61820","$700,000 ",2 beds,1 bath,660 sq ft,134 sqft,1970,"Aug 2012 for $700,000",Forced air,Central,Unknown,Unknown,Unknown,Unknown,Unknown
"2705 Trafalgar Sq , Champaign, IL 61821","$113,900 ",3 beds,1 bath,912 sq ft,Contact for details,1970,"Jul 2013 for $67,500",Contact for details,30,Unknown,Unknown,Unknown,Unknown,Unknown
"3202 W Daniel St , Champaign, IL 61821","$87,000 ",3 beds,1 bath,"1,073 sq ft","6,500 sqft",1970,"Oct 2013 for $87,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"1302 S Duncan Rd , Champaign, IL 61821","$105,000 ",3 beds,1 bath,937 sq ft,77 sqft,1969,"Jul 2011 for $96,000",Forced air,31,Central,Garage - Detached,Unknown,No,"Carpet, Hardwood, Laminate, Linoleum / Vinyl"
"2408 Arden Dr , Champaign, IL 61821","$93,000 ",3 beds,1 bath,960 sq ft,"7,150 sqft",1969,"Apr 2012 for $93,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"710 Dogwood Dr , Champaign, IL 61821","$97,900 ",3 beds,1 bath,"1,073 sq ft",0.28 acres,1969,"Apr 2013 for $54,000",Forced air,158,Central,Garage - Attached,Unknown,Unknown,"Carpet, Linoleum / Vinyl"
"2701 W Kirby Ave , Champaign, IL 61821","$63,000 ",3 beds,1 bath,"1,040 sq ft","6,630 sqft",1969,"Jun 2012 for $63,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"3106 W Daniel St , Champaign, IL 61821","$76,900 ",3 beds,1 bath,"1,073 sq ft",Contact for details,1969,"Mar 2013 for $76,900",Forced air,Central,Carport,Unknown,Unknown,"Carpet, Tile",Unknown
"3008 Ridgewood Ct , Champaign, IL 61821","$92,000 ",3 beds,1 bath,925 sq ft,"7,320 sqft",1968,"Jul 2012 for $92,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"910 S Duncan Rd , Champaign, IL 61821","$62,000 ",3 beds,1 bath,925 sq ft,Contact for details,1968,"Aug 2013 for $62,000",Forced air,Central,Garage - Attached,Unknown,Unknown,Carpet,Unknown
"1604 N Mattis Ave , Champaign, IL 61821","$65,000 ",3 beds,1 bath,"1,032 sq ft",65 acres,1967,"Jan 2011 for $65,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"2316 Campbell Dr , Champaign, IL 61821","$55,000 ",3 beds,1 bath,992 sq ft,"9,750 sqft",1967,"Oct 2011 for $55,000",Contact for details,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"1207 Maplepark Dr , Champaign, IL 61821","$76,900 ",3 beds,1 bath,"1,073 sq ft",Contact for details,1967,"Mar 2013 for $76,900",Forced air,Central,Garage - Attached,Unknown,Unknown,"Carpet, Hardwood, Laminate",Unknown
